symbols,Atomic Number,elements,JAEA Data, ICSE Data,Total Sorbate Count
H,1,Hydrogen,0,8176,8176
He,2,Helium,0,0,0
Li,3,Lithium,0,0,0
Be,4,Beryllium,0,0,0
B,5,Boron,0,0,0
C,6,Carbon,63,227,290
N,7,Nitrogen,0,0,0
O,8,Oxygen,0,0,0
F,9,Fluorine,0,0,0
Ne,10,Neon,0,0,0
Na,11,Sodium,37,13,50
Mg,12,Magnesium,84,61,145
Al,13,Aluminum,0,0,0
Si,14,Silicon,0,23,23
P,15,Phosphorus,11,211,222
S,16,Sulfur,0,96,96
Cl,17,Chlorine,15,0,15
Ar,18,Argon,0,0,0
K,19,Potassium,41,63,104
Ca,20,Calcium,169,343,512
Sc,21,Scandium,0,0,0
Ti,22,Titanium,0,0,0
V,23,Vanadium,0,0,0
Cr,24,Chromium,0,100,100
Mn,25,Manganese,108,151,259
Fe,26,Iron,544,312,856
Co,27,Cobalt,1046,840,1886
Ni,28,Nickel,3412,2580,5992
Cu,29,Copper,0,317,317
Zn,30,Zinc,998,1571,2569
Ga,31,Gallium,0,0,0
Ge,32,Germanium,0,0,0
As,33,Arsenic,0,52,52
Se,34,Selenium,2501,4034,6535
Br,35,Bromine,0,0,0
Kr,36,Krypton,0,0,0
Rb,37,Rubidium,36,87,123
Sr,38,Strontium,2807,992,3799
Y,39,Yttrium,0,0,0
Zr,40,Zirconium,81,0,81
Nb,41,Niobium,48,0,48
Mo,42,Molybdenum,14,0,14
Tc,43,Technetium,1258,0,1258
Ru,44,Ruthenium,0,0,0
Rh,45,Rhodium,0,0,0
Pd,46,Palladium,30,0,30
Ag,47,Silver,0,0,0
Cd,48,Cadmium,308,326,634
In,49,Indium,0,0,0
Sn,50,Tin,282,85,367
Sb,51,Antimony,58,0,58
Te,52,Tellurium,0,0,0
I,53,Iodine,538,0,538
Xe,54,Xenon,0,0,0
Cs,55,Cesium,6188,823,7011
Ba,56,Barium,193,106,299
La,57,Lanthanum,0,0,0
Ce,58,Cerium,56,0,56
Pr,59,Praseodymium,0,0,0
Nd,60,Neodymium,129,0,129
Pm,61,Promethium,0,0,0
Sm,62,Samarium,88,69,157
Eu,63,Europium,3169,2458,5627
Gd,64,Gadolinium,0,0,0
Tb,65,Terbium,0,0,0
Dy,66,Dysprosium,0,0,0
Ho,67,Holmium,0,0,0
Er,68,Erbium,0,0,0
Tm,69,Thulium,0,0,0
Yb,70,Ytterbium,0,59,59
Lu,71,Lutetium,0,0,0
Hf,72,Hafnium,0,0,0
Ta,73,Tantalum,0,0,0
W,74,Tungsten,0,0,0
Re,75,Rhenium,0,0,0
Os,76,Osmium,0,0,0
Ir,77,Iridium,0,0,0
Pt,78,Platinum,0,0,0
Au,79,Gold,0,0,0
Hg,80,Mercury,0,0,0
Tl,81,Thallium,0,0,0
Pb,82,Lead,1524,593,2117
Bi,83,Bismuth,21,0,21
Po,84,Polonium,23,0,23
At,85,Astatine,0,0,0
Rn,86,Radon,616,0,616
Fr,87,Francium,0,0,0
Ra,88,Radium,0,802,802
Ac,89,Actinium,14,0,14
Th,90,Thorium,1319,288,1607
Pa,91,Protactinium,196,60,256
U,92,Uranium,5394,5902,11296
Np,93,Neptunium,3456,2129,5585
Pu,94,Plutonium,1299,1078,2377
Am,95,Americium,1229,1093,2322
Cm,96,Curium,48,132,180
Bk,97,Berkelium,0,0,0
Cf,98,Californium,0,0,0
Es,99,Einsteinium,0,0,0
Fm,100,Fermium,0,0,0
Md,101,Mendelevium,0,0,0
No,102,Nobelium,0,0,0
Lr,103,Lawrencium,0,0,0
Rf,104,Rutherfordium,0,0,0
Db,105,Dubnium,0,0,0
Sg,106,Seaborgium,0,0,0
Bh,107,Bohrium,0,0,0
Hs,108,Hassium,0,0,0
Mt,109,Meitnerium,0,0,0
Ds,110,Darmstadtium,0,0,0
Rg,111,Roentgenium,0,0,0
Cn,112,Copernicium,0,0,0
Nh,113,Nihonium,0,0,0
Fl,114,Flerovium,0,0,0
Mc,115,Moscovium,0,0,0
Lv,116,Livermorium,0,0,0
Ts,117,Tennessine,0,0,0
Og,118,Oganesson,0,0,0
N/A,N/A,Acid Name ,JAEA Acid Data,ICSE Acid Data,Total Sorbate Count
N/A,N/A,Oxalic acid,0,889,889
N/A,N/A,Citric acid,0,709,709
N/A,N/A,Humic acid,0,371,371
N/A,N/A,Mellitic acid,0,286,286
N/A,N/A,Phthalic acid,0,127,127
N/A,N/A,Fulvic acid,0,96,96
N/A,N/A,Ketogluconate,0,35,35
N/A,N/A,Aminotriazole,0,35,35
N/A,N/A,Trimesic acid,0,29,29
N/A,N/A,COM,0,28,28
N/A,N/A,Anthracene,0,24,24
N/A,N/A,Malonic acid,0,13,13
N/A,N/A,Dodecylamine,0,13,13
